Nom_districte,Nom_barri,Descripcio_dia_setmana,Nom_mes,Dia_mes,Hora_dia,Descripcio_causa_vianant,Descripcio_tipus_vehicle,tipo_vehiculo,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Longitud,Latitud
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Enero,28,13,No,Motocicleta,Motocicleta,PCX,HONDA,Blanc,B,7,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,22,10,No,Motocicleta,Motocicleta,SH 150,HONDA,Gris,B,29,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,22,10,No,Turisme,Turismo,ALMERA 5P,NISSAN,Gris,B,2,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Septiembre,6,11,No,Ciclomotor,Ciclomotor,JET 14 50,S.Y.M,Vermell,B,1,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Septiembre,6,11,No,Furgoneta,Furgoneta,TRAFIC,RENAULT,Blanc,B,24,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,8,4,No,Taxi,Taxi,TOYOTA PRI,TOYOTA,Negre/Groc,B,5,2.1606348027454594,41.38735416658667
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,8,4,No,Veh. mobilitat personal amb motor,Patinete/patín,Desconegut,Desconegut,Negre,Sense permís,Desconegut,2.1606348027454594,41.38735416658667
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Junio,25,18,No,Motocicleta,Motocicleta,FES125A,HONDA,granate,B,34,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Junio,25,18,No,Turisme,Turismo,SMART,SMART,Blanc,B,56,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Noviembre,6,20,No,Motocicleta,Motocicleta,YP400R,YAMAHA,Negre,A,10,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Noviembre,6,20,No,Taxi,Taxi,5008 ACTIVE HDI 150,PEUGEOT,Negre/Groc,B,14,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Febrero,13,12,No,Motocicleta,Motocicleta,UH 125,SUZUKI,Gris,B,49,2.1600303354862023,41.38677715399034
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Febrero,13,12,No,Taxi,Taxi,Rodius,SSANGYONG,Negre/Groc,B,45,2.1600303354862023,41.38677715399034
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Febrero,13,12,No,Turisme,Turismo,IQ 1.0 MAN,TOYOTA,Blanc,B,53,2.1600303354862023,41.38677715399034
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Febrero,5,20,No,Motocicleta,Motocicleta,SES 125,HONDA,Negre,B,17,2.1606348027454594,41.38735416658667
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Febrero,5,20,No,Turisme,Turismo,A1 SPORTBA,AUDI,Blanc,B,24,2.1606348027454594,41.38735416658667
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Octubre,21,11,No,Furgoneta,Furgoneta,CITAN,MERCEDES-BENZ,Blanc,B,19,2.1617626897061863,41.3882091760756
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Octubre,21,11,No,Motocicleta,Motocicleta,CZD300-A (X-MAX300),YAMAHA,Blau,A,41,2.1617626897061863,41.3882091760756
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Junio,20,9,No,Turisme,Turismo,Desconegut,MECEDES,Gris,Desconegut,Desconegut,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Junio,20,9,No,Veh. mobilitat personal amb motor,Patinete/patín,Desconegut,JOYOR,Negre,AM,34,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Julio,22,23,No,Taxi,Taxi,FIAT TIPO,FIAT,Desconegut,B,4,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Julio,22,23,No,Veh. mobilitat personal amb motor,Patinete/patín,M-365,XIAOMI,Negre,Desconegut,Desconegut,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Marzo,31,17,No,Motocicleta,Motocicleta,SUPER DINK 300I,KYMCO,Blau,A2,8,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Marzo,31,17,No,Turisme,Turismo,A4 2.4 5V,AUDI,Blau,B,11,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Marzo,31,17,No,Turisme,Turismo,FIAT 500,FIAT,Blau,Desconegut,Desconegut,2.162908426026098,41.38906430430431
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,15,16,No,Motocicleta,Motocicleta,NHX110WH,HONDA,Desconegut,B,37,2.1504565181232,41.38992539355088
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Marzo,17,6,Sí,Motocicleta,Motocicleta,UX 125,SUZUKI,Blanc,A1,16,2.1504565181232,41.38992539355088
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Abril,24,20,No,Motocicleta,Motocicleta,SH125D,HONDA,Negre,B,34,2.1515736473760483,41.39078213434832
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Abril,24,20,No,Motocicleta,Motocicleta,SH300A,HONDA,Gris,A2,32,2.1515736473760483,41.39078213434832
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Junio,12,7,No,Turisme,Turismo,MOKKA,OPEL,Negre,B,23,2.151131179153342,41.39057296147272
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Junio,12,7,No,Veh. mobilitat personal amb motor,Patinete/patín,M-365,XIAOMI,Blanc,Sense permís,Desconegut,2.151131179153342,41.39057296147272
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Octubre,24,14,Sí,Turisme,Turismo,ALTEA XL,SEAT,Negre/Groc,B,26,2.1515736473760483,41.39078213434832
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Julio,11,13,No,Ciclomotor,Ciclomotor,PEOPLE S50,KYMCO,Negre,AM,13,2.1527118389507485,41.39163109282072
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Julio,11,13,No,Turisme,Turismo,YARIS 1.33 5 PUERTAS,TOYOTA,Negre,B,47,2.1527118389507485,41.39163109282072
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Febrero,12,13,No,Motocicleta,Motocicleta,WW125,HONDA,Vermell,B,8,2.1527118389507485,41.39163109282072
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Febrero,12,13,No,Turisme,Turismo,A3,AUDI,Blanc,B,24,2.1527118389507485,41.39163109282072
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Marzo,19,15,No,Motocicleta,Motocicleta,NHX 110,HONDA,Gris,A2,5,2.153851373900099,41.392489417554685
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Marzo,19,15,No,Turisme,Turismo,LEON,SEAT,Negre,B,15,2.153851373900099,41.392489417554685
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Octubre,20,3,No,Motocicleta,Motocicleta,R NINE T SCRAMBLER,BMW,Desconegut,A,16,2.1549792193894493,41.39333827738811
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Abril,25,16,No,Ciclomotor,Ciclomotor,SH 50,HONDA,Verd,B,33,2.1549792193894493,41.39333827738811
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Abril,25,16,No,Turisme,Turismo,POLO,VOLKSWAGEN,Blanc,B,13,2.1549792193894493,41.39333827738811
Eixample,l'Antiga Esquerra de l'Eixample,Jueves,Junio,20,8,No,Motocicleta,Motocicleta,SH300A,HONDA,Negre,A2,7,2.1561204733152386,41.39419776311075
